chord_id,root,root_as_int,quality_or_type
0,A,9,dom
1,A,9,min7
2,A,9,min7b5
3,A#/Bb,10,com
4,A#/Bb,10,dim7
5,A#/Bb,10,dom
6,A#/Bb,10,maj7
7,A#/Bb,10,min7
8,B,11,dim7
9,B,11,dom
10,B,11,min7b5
11,C,0,dom
12,C,0,maj7
13,C,0,min7
14,C,0,min7b5
15,C#/Db,1,aj
16,C#/Db,1,dim7
17,C#/Db,1,maj7
18,C#/Db,1,min7
19,D,2,dom
20,D,2,min7
21,D,2,min7b5
22,D#/Eb,3,dom
23,D#/Eb,3,maj7
24,D#/Eb,3,min7
25,E,4,dim7
26,E,4,dom
27,E,4,maj7
28,E,4,min7b5
29,F,5,dom
30,F,5,maj7
31,F,5,min7
32,F#/Gb,6,dom
33,F#/Gb,6,min7
34,F#/Gb,6,min7b5
35,G,7,dom
36,G,7,m7b5
37,G,7,maj7
38,G,7,min7
39,G,7,min7b5
40,G#/Ab,8,dom
41,G#/Ab,8,maj7
42,G#/Ab,8,min7